id,carat,cut,color,clarity,depth,table,x,y,z,price
2115,0.3,Premium,D,VVS1,61.0,61.0,4.34,4.3,2.63,958
4438,0.9,Premium,H,VS2,60.1,59.0,6.3,6.24,3.77,4082
1146,0.74,Ideal,E,VS1,61.6,56.0,5.82,5.87,3.59,3713
2486,0.9,Premium,G,SI2,62.8,59.0,6.08,6.13,3.84,3591
44,1.0,Premium,E,SI1,62.7,60.0,6.43,6.39,4.02,5105
2154,0.52,Ideal,G,VS1,61.2,57.0,5.17,5.2,3.16,1689
1526,0.3,Very Good,H,VS2,63.4,57.0,4.25,4.24,2.69,491
4414,0.32,Very Good,E,VS2,62.4,54.0,4.36,4.39,2.73,684
1378,0.53,Ideal,D,VS2,61.1,56.0,5.23,5.29,3.21,1805
1765,1.0,Very Good,E,VS2,63.1,57.0,6.34,6.3,3.99,6332
3012,1.0,Fair,D,SI1,64.6,60.0,6.24,6.29,4.02,6212
413,0.34,Ideal,E,VS2,62.5,55.0,4.5,4.47,2.81,784
4468,0.42,Premium,F,VS2,62.9,59.0,4.77,4.74,3.0,1088
1407,0.42,Premium,F,VVS2,60.8,59.0,4.82,4.85,2.94,1232
1658,1.56,Premium,H,SI1,58.3,59.0,7.67,7.59,4.44,11979
801,0.58,Premium,F,VS2,61.9,58.0,5.37,5.33,3.31,1989
1288,0.31,Very Good,G,SI1,62.9,59.0,4.27,4.32,2.7,476
2182,0.35,Ideal,G,VS1,61.8,55.0,4.53,4.56,2.81,706
2588,1.5,Ideal,G,VVS2,63.0,58.0,7.29,7.25,4.58,14165
2615,1.01,Ideal,E,VS2,61.9,57.0,6.43,6.38,3.97,6814
2318,0.24,Very Good,D,VVS2,58.5,59.0,4.04,4.1,2.38,552
256,1.56,Premium,J,VS2,59.7,59.0,7.59,7.53,4.51,7848
4542,0.32,Premium,G,VS2,61.3,58.0,4.48,4.44,2.73,720
1729,1.5,Premium,E,SI2,61.8,59.0,7.33,7.34,4.53,7404
1151,0.3,Ideal,G,SI1,61.9,57.0,4.29,4.34,2.67,468
4144,0.36,Ideal,D,VS2,62.2,56.0,4.6,4.57,2.86,829
647,0.71,Premium,E,SI1,62.4,58.0,5.68,5.67,3.54,2605
2908,0.31,Ideal,G,VVS1,61.6,55.0,4.36,4.4,2.7,789
1702,0.72,Premium,F,VS2,61.1,59.0,5.79,5.76,3.53,2862
1881,0.5,Fair,F,VS1,62.6,66.0,5.05,5.08,3.16,1888
3768,0.7,Premium,H,VS2,62.8,62.0,5.66,5.58,3.52,2367
1315,0.39,Premium,E,VS2,60.4,59.0,4.76,4.71,2.86,1090
2269,0.9,Good,D,SI1,63.1,56.0,6.14,6.18,3.89,4612
1966,0.4,Very Good,H,VS1,62.9,56.0,4.72,4.76,2.98,773
